"Distance [mm]","Voltage [V]"
0.670588,0.27035825992775
0.67965,0.274308245182038
0.688712,0.278260760175705
0.697774,0.282215804908753
0.706836,0.28617337938118
0.715898,0.290133483592988
0.72496,0.294096117544174
0.734022,0.298061281234741
0.743084,0.302028974664688
0.752146,0.305999197834015
0.761208,0.309971950742722
0.77027,0.313947233390808
0.779332,0.317925045778275
0.788394,0.321905387905121
0.797456,0.325888259771347
0.806518,0.329873661376953
0.81558,0.333861592721939
0.824642,0.337852053806305
0.833704,0.341845044630051
0.842766,0.345840565193177
0.851828,0.349838615495682
0.86089,0.353839195537567
0.869952,0.357842305318833
0.879014,0.361847944839478
0.888076,0.365856114099502
0.897138,0.369866813098908
0.9062,0.373880041837692
0.915262,0.377895800315857
0.924324,0.381914088533402
0.933386,0.385934906490326
0.942448,0.38995825418663
0.95151,0.393984131622315
0.960572,0.398012538797379
0.969634,0.402043475711823
0.978696,0.406076942365646
0.987758,0.41011293875885
0.99682,0.414151464891434
1.005882,0.418192520763397
1.014944,0.42223610637474
1.024006,0.426282221725464
1.033068,0.430330866815567
1.04213,0.43438204164505
1.051192,0.438435746213913
1.060254,0.442491980522156
1.069316,0.446550744569778
1.078378,0.450612038356781
1.08744,0.454675861883164
1.096502,0.458742215148926
1.105564,0.462811098154068
1.114626,0.46688251089859
1.123688,0.470956453382492
1.13275,0.475032925605773
1.141812,0.480135051056679
1.150874,0.485181801902707
1.159936,0.490173178143857
1.168998,0.49510917978013
1.17806,0.499989806811524
1.187122,0.504815059238042
1.196184,0.509584937059682
1.205246,0.514299440276444
1.214308,0.51895856888833
1.22337,0.523562322895337
1.232432,0.528110702297468
1.241494,0.53260370709472
1.250556,0.537041337287095
1.259618,0.541423592874593
1.26868,0.545750473857213
1.277742,0.550021980234955
1.286804,0.554238112007821
1.295866,0.558398869175808
1.304928,0.562504251738918
1.31399,0.566554259697151
1.323052,0.570548893050506
1.332114,0.574488151798984
1.341176,0.578372035942584
1.350238,0.582200545481306
1.3593,0.585973680415151
1.368362,0.589691440744119
1.377424,0.593353826468209
1.386486,0.596960837587422
1.395548,0.600512474101757
1.40461,0.604008736011214
1.413672,0.607449623315795
1.422734,0.610835136015497
1.431796,0.614165274110323
1.440858,0.61744003760027
1.44992,0.62065942648534
1.458982,0.623823440765533
1.468044,0.626932080440848
1.477106,0.629985345511285
1.486168,0.632983235976846
1.49523,0.635925751837529
1.504292,0.638812893093333
1.513354,0.641644659744261
1.522416,0.644421051790311
1.531478,0.647142069231484
1.54054,0.649807712067779
1.549602,0.652417980299197
1.558664,0.654972873925737
1.567726,0.657472392947399
1.576788,0.659499023012783
1.58585,0.661284175816555
1.594912,0.664268539379467
1.603974,0.667715921003463
1.613036,0.671093637030707
1.622098,0.674401687461197
1.63116,0.677640072294935
1.640222,0.68080879153192
1.649284,0.683907845172153
1.658346,0.685697769866403
1.667408,0.687216313004347
1.67647,0.688716213243669
1.685532,0.691270559443671
1.694594,0.693726491330019
1.703656,0.696084008902713
1.712718,0.698343112161751
1.72178,0.700503801107134
1.730842,0.702566075738862
1.739904,0.704529936056936
1.748966,0.706395382061354
1.758028,0.708162413752117
1.76709,0.709831031129226
1.776152,0.711401234192679
1.785214,0.712873022942478
1.794276,0.714246397378622
1.803338,0.71552135750111
1.8124,0.716697903309944
1.821462,0.717776034805123
1.830524,0.718755751986646
1.839586,0.719637054854515
1.848648,0.720419943408729
1.85771,0.721104417649288
1.866772,0.721690477576192
1.875834,0.722178123189441
1.884896,0.722567354489035
1.893958,0.722858171474974
1.90302,0.723050574147258
1.912082,0.723144562505887
1.921144,0.723140136550862
1.930206,0.723037296282181
1.939268,0.722836041699845
1.94833,0.722536372803854
1.957392,0.722138289594208
1.966454,0.721641792070908
1.975516,0.721046880233952
1.984578,0.720353554083342
1.99364,0.719561813619076
2.002702,0.718756462082047
2.011764,0.719017907760114
2.020826,0.719639626753367
2.029888,0.720132543024134
2.03895,0.720496656572414
2.048012,0.720731967398208
2.057074,0.720838475501515
2.066136,0.720816180882337
2.075198,0.720665083540672
2.08426,0.720385183476521
2.093322,0.719976480689884
2.102384,0.71943897518076
2.111446,0.71877266694915
2.120508,0.717977555995054
2.12957,0.717053642318471
2.138632,0.716000925919403
2.147694,0.714819406797848
2.156756,0.713509084953806
2.165818,0.712069960387279
2.17488,0.710502033098265
2.183942,0.708805303086765
2.193004,0.706979770352779
2.202066,0.705025434896305
2.211128,0.702942296717346
2.22019,0.700730355815901
2.229252,0.69838961219197
2.238314,0.695920065845552
2.247376,0.693321716776648
2.256438,0.690594564985257
2.2655,0.687738610471381
2.274562,0.684753853235018
2.283624,0.681640293276169
2.292686,0.678397930594833
2.301748,0.675026765191011
2.31081,0.671526797064703
2.319872,0.667898026215909
2.328934,0.664140452644628
2.337996,0.660254076350862
2.347058,0.656238897334608
2.35612,0.652094915595869
2.365182,0.647822131134643
2.374244,0.643420543950931
2.383306,0.638890154044732
2.392368,0.634230961416048
2.40143,0.629442966064877
2.410492,0.62452616799122
2.419554,0.619480567195076
2.428616,0.614306163676447
2.437678,0.609002957435331
2.44674,0.603570948471729
2.455802,0.59801013678564
2.464864,0.592320522377065
2.473926,0.586502105246004
2.482988,0.580554885392457
2.49205,0.574478862816423
2.501112,0.568274037517903
2.510174,0.561940409496897
2.519236,0.555477978753404
2.528298,0.548886745287426
2.53736,0.54216670909896
2.546422,0.535317870188009
2.555484,0.528340228554572
2.564546,0.521233784198648
2.573608,0.513998537120238
2.58267,0.506634487319341
2.591732,0.499141634795959
2.600794,0.49151997955009
2.609856,0.483769521581734
2.618918,0.475890260890893
2.62798,0.467882197477565
2.637042,0.459745331341751
2.646104,0.45147966248345
2.655166,0.442775312035252
2.664228,0.433913002476341
2.67329,0.42497723061304
2.682352,0.415967996445347
2.691414,0.406885299973265
2.700476,0.39772914119679
2.709538,0.388499520115926
2.7186,0.37919643673067
2.727662,0.369819891041024
2.736724,0.360369883046986
2.745786,0.350846412748558
2.754848,0.341249480145738
2.76391,0.331579085238529
2.772972,0.321835228026928
2.782034,0.312017908510936
2.791096,0.302127126690554
2.800158,0.29216288256578
2.80922,0.282125176136616
2.818282,0.272014007403061
2.827344,0.261829376365115
2.836406,0.251571283022778
2.845468,0.24123972737605
2.85453,0.230834709424932
2.863592,0.220356229169422
2.872654,0.209804286609522
2.881716,0.199178881745231
2.890778,0.188480014576548
2.89984,0.177707685103476
2.908902,0.166861893326012
2.917964,0.155942639244158
2.927026,0.144949922857912
2.936088,0.133883744167276
2.94515,0.122744103172249
2.954212,0.111530999872831
2.963274,0.100244434269022
2.972336,0.0888844063608218
2.981398,0.0774509161482312
2.99046,0.0659439636312495
2.999522,0.0543635488098777
3.008584,0.0427096716841142
3.017646,0.0309823322539601
3.026708,0.0191815305194149
3.03577,0.00769451196655252
3.044832,-0.00393722539370988
